SubjectID	Accuracy	Bias_amp4_All	Bias_amp8_All	Threshold_amp4_All	Threshold_amp8_All	DDM_dr_amp4_All	DDM_dr_amp8_All	DDM_bound_amp4_All	DDM_bound_amp8_All	DDM_bias_amp4_All	DDM_bias_amp8_All	DDM_ndt_amp4_All	DDM_ndt_amp8_All	DDM_ve_w_amp4_All	DDM_ve_w_amp8_All	A_bound_amp4_All	A_bound_amp8_All	B_bound_amp4_All	B_bound_amp8_All	RT_s1_amp4_All	RT_s1_amp8_All	RT_smin1_amp4_All	RT_smin1_amp8_All	RT_ratio_s1_amp4_All	RT_ratio_s1_amp8_All	RT_ratio_smin1_amp4_All	RT_ratio_smin1_amp8_All	errFit_amp4_All	errFit_amp8_All	BIC_amp4_All	BIC_amp8_All	AIC_amp4_All	AIC_amp8_All
DDM21	95.4167	0.0000	0.0000	0.1800	0.2400	0.5092	0.2823	6.2291	8.4115	NaN	NaN	276.8194	263.9867	NaN	NaN	6.2291	8.4115	6.2291	8.4115	12.1911	29.2885	12.1911	29.2885	0.0422	0.0999	0.0422	0.0999	77.1228	85.1701	163.5187	179.6132	160.2456	176.3401
DDM22	95.8333	0.0000	0.0000	0.0900	0.2800	0.3844	0.1820	16.3156	10.9952	NaN	NaN	335.7923	352.4255	NaN	NaN	16.3156	10.9952	16.3156	10.9952	42.4422	58.2509	42.4422	58.2509	0.1122	0.1418	0.1122	0.1418	97.6172	112.6466	204.5075	234.5663	201.2344	231.2932
DDM23	84.5833	0.0000	0.0000	0.1700	0.3900	0.4004	0.1886	8.1738	7.4891	NaN	NaN	337.6420	373.1832	NaN	NaN	8.1738	7.4891	8.1738	7.4891	20.3572	35.2679	20.3572	35.2679	0.0569	0.0863	0.0569	0.0863	62.1950	78.9766	133.6630	167.2264	130.3899	163.9532
DDM24	96.8750	0.0000	0.0000	0.0400	0.0600	0.8035	0.6158	18.2165	17.7963	NaN	NaN	449.3510	463.4575	NaN	NaN	18.2165	17.7963	18.2165	17.7963	22.6719	28.9007	22.6719	28.9007	0.0480	0.0587	0.0480	0.0587	60.9673	62.0423	131.2077	133.3577	127.9346	130.0846
DDM25	92.5000	0.0000	0.0000	0.1100	0.1300	0.7790	0.7409	6.4256	5.8193	NaN	NaN	362.0200	363.1419	NaN	NaN	6.4256	5.8193	6.4256	5.8193	8.2479	7.8514	8.2479	7.8514	0.0223	0.0212	0.0223	0.0212	62.9926	61.1900	135.2584	131.6531	131.9853	128.3800
DDM26	84.1667	0.0000	0.0000	0.2600	0.6200	0.3067	0.1221	7.1464	7.3434	NaN	NaN	326.9738	307.2518	NaN	NaN	7.1464	7.3434	7.1464	7.3434	22.7280	42.9757	22.7280	42.9757	0.0650	0.1227	0.0650	0.1227	77.5114	109.5343	164.2959	228.3417	161.0228	225.0685
DDM27	93.3333	0.0000	0.0000	0.0400	0.1300	1.1320	0.3658	15.7290	12.1323	NaN	NaN	505.5511	517.9758	NaN	NaN	15.7290	12.1323	15.7290	12.1323	13.8943	33.1595	13.8943	33.1595	0.0267	0.0602	0.0267	0.0602	68.1238	99.0525	145.5206	207.3781	142.2475	204.1049
DDM28	89.1667	0.0000	0.0000	0.0900	0.1900	0.5165	0.1874	13.2296	15.8257	NaN	NaN	419.9511	400.0569	NaN	NaN	13.2296	15.8257	13.2296	15.8257	25.6142	84.0130	25.6142	84.0130	0.0575	0.1736	0.0575	0.1736	75.1929	94.0662	159.6589	197.4055	156.3857	194.1324
DDM29	92.0833	0.0000	0.0000	0.1200	0.2900	0.4944	0.2376	9.8988	8.0068	NaN	NaN	425.3198	421.2846	NaN	NaN	9.8988	8.0068	9.8988	8.0068	20.0188	32.2305	20.0188	32.2305	0.0450	0.0711	0.0450	0.0711	72.4607	89.0628	154.1946	187.3988	150.9215	184.1256
DDM30	91.6667	0.0000	0.0000	0.1000	0.2200	0.4427	0.1862	13.1092	13.7463	NaN	NaN	379.2289	341.4473	NaN	NaN	13.1092	13.7463	13.1092	13.7463	29.6089	72.9307	29.6089	72.9307	0.0724	0.1760	0.0724	0.1760	72.2579	97.0447	153.7890	203.3626	150.5158	200.0895
